name,city,state,address,pincode,contact,store_type,weekdays_timing,map_location
KOTTURPURAM,CHENNAI,TAMIL NADU,"No. 44/1, Ponniamman Koil Street, Kotturpuram, Chennai - 600 085",600017,7448807650,Supermarket,,
KUNDARA,KOLLAM,KERALA,"Modern Complex,Hospital Junction,Kundra,Kollam,Kerala",691501,9946031122,Supermarket,,
KURISHUMOODU,KOTTAYAM,KERALA,"Mattathilkarottu Building, Kurishumoodu, Changanassery- 686104",686104,9961883426,Supermarket,,
LITTLE WORLD,NAVI MUMBAI,MAHARASHTRA,"Little World Mall , Gr Floor, Plot No 21, Sector 02, Near Express Highway, Kharghar Navi Mumbai 410210",410210,8888814191,Supermarket,,
MADHANANTHAPURAM,CHENNAI,TAMIL NADU,"30, Pammal Main Road, Pammal, Chennai - 600075",600075,7448807654,Supermarket,,
MADHAVARAM,CHENNAI,TAMIL NADU,"No:4, K.K.R Nagar,Madhavaram High Road,Madhavaram, Chennai - 600 060.",600060,7448807625,Supermarket,,
MADIPAKKAM,CHENNAI,TAMIL NADU,"Plot.No.1,1b And 12,Vigneshwara Nagar,Medavakkam Main Road,Ullannagaram Village,Madipakkam,Chennai-600091",600091,7448807619,Supermarket,,
MALLAPPALLY KERALA,PATHANAMTHITTA,KERALA,"K.TOWER,Mallappally PO,Pathanamthitta, Kerala",689594,9946030025,Supermarket,,
MANARCAUD,KOTTAYAM,KERALA,"TMM Arcade,Manarcadu PO,kottayam",686019,9946036301,Supermarket,,
MANGANAM,KOTTAYAM,KERALA,"More Supermarkets Ltd , Centre Square,Manganam Kurisu Junction,kanjikuzhy Puthupalli Road,Kottayam",682328,,Supermarket,,
MANJADI THIRUVALLA,PATHANMTHITTA,KERALA,"Babu Complex,Manjadi PO,Thiruvalla,Kerala",689105,7510113336,Supermarket,,
MANNARKKAD,PALAKKAD,KERALA,"GROUND FLOOR,APSARA COMPLEX
OPP ANSARI PRINTERS,NEAR PRIVATE BUS STAND,MANNARKKAD.
",678582,9961994496,Supermarket,,
MARAIMALAI NAGAR,CHENNAI,TAMIL NADU,"C.S. 33/6, Pavendar Salai, NH I, Maraiamalai Nagar, Chennai - 603 209",600044,7448807635,Supermarket,,
MARAPPALAM,THIRUVANANTHAPURAM,KERALA,"Ground Floor ,Lakshmi Tower, Marappalam , Pattom P O, Trivandrum 695004",695004,9961883473,Supermarket,,
MARAPPALAM,THIRUVANANTHAPURAM,KERALA,"Ground Floor ,Lakshmi Tower, Marappalam , Pattom P O, Trivandrum 695004",695004,9961883473,Supermarket,,
MAVELIKARA,ALAPPUZHA,KERALA,"Keli Arcade,KSRTC Road,mavelikara-",689101,8606018933,Supermarket,,
MEDAVAKKAM,CHENNAI,TAMIL NADU,"Plot No.8B & 9B, V.G.P Dr.Vimala NagarVelachery High Road, Medavakkam,Chennai 601 302. Near Citi Financial",600096,7448807651,Supermarket,,
MELVISHARAM,VELLORE,TAMIL NADU,"New No:452, Old No:84, Anna Salai, Melvisharam, Vellore Dist - 632509",632509,7448807639,Supermarket,,
METHANAGAR,CHENNAI,TAMIL NADU,"No. 10/1, Vada Agaram Raoad, Metha Nagar, Nelson Manickam Road,  Bedind HDFC ATM Chennai - 600094",600029,7448807646,Supermarket,,
MIMS,CALICUT,KERALA,"GF,OPP MALABAR INSTITUTE
OF MEDICAL SCIENCE,CALICUT
",673016,9961994480,Supermarket,,
MODEL COLONY,PUNE,MAHARASHTRA,"Monoplex Plaza Survey No CTS No 1020/7 Gokhale Road--Model Colony,Nr Om Super Market, Shivaji Nagar Pune",411016,9370335010,Supermarket,,
MORE HYPERMART,GURUGRAM,HARYANA,"The Esplanade Mall, Sector 37 C, Near Alpine Convent School, Basai Village, Gurugram",122001,,Hypermart,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3507.804867356445!2d76.99149211441242!3d28.455298082488085!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d179bd623832f%3A0xbda70502883571cf!2sAlpine%20Convent%20School!5e0!3m2!1sen!2sin!4v1602692594158!5m2!1sen!2sin
"MORE HYPERMART, MOMENTS",NEW DELHI,NEW DELHI,"Metro Pillar No. 283, Moments Mall , Plot No. 67, DLF Industrial Area, Block J, Kirti Nagar, New Delhi, Delhi 110015",110015,7065079236,Hypermart,9:30 am to 9:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3501.098374280688!2d77.14477411508318!3d28.656772982408217!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x6c5ea17205e8b4b!2sMore%20Hypermart!5e0!3m2!1sen!2sin!4v1596548018784!5m2!1sen!2sin
"MORE HYPERMART, OCP",GREATER NOIDA,UTTAR PRADESH,"Omaxe Connaught Place, Block H, Beta II, Greater Noida, Uttar Pradesh 201306",201306,9355003922,Hypermart,8:00 am to 7:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3506.6906681241076!2d77.5118083150794!3d28.488860982474684!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x7befcde5b9d6462a!2sMore%20Hypermart!5e0!3m2!1sen!2sin!4v1596550606329!5m2!1sen!2sin
"MORE HYPERMART, ORCHID",GURUGRAM,HARYANA,"G/1 Orchid Business Park, Sohna Rd, Opp. Bikaner Wala, Subhash Chowk, Gurugram, Haryana 122001",122001,8743854230,Hypermart,8:00 am to 7:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3508.7595471930154!2d77.03430351507802!3d28.426511482499514!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x8c9273f43a66d4ec!2sMore%20Hypermart!5e0!3m2!1sen!2sin!4v1596547933051!5m2!1sen!2sin
"MORE HYPERMART, RAJARHAT",KOLKATA,WEST BENGAL,"RRSB Forex, Salt Lake Tower C, Room No. 28, (Ground Floor DLF IT Park, Major Arterial Road (South East Extension), AF Block(Newtown), Kolkata, West Bengal 700156",700156,,Hypermart,10:00 am to 6:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3683.921752704742!2d88.44717661495973!3d22.58202968517794!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x5bd320bdac62e4f!2sMore%20Hyper%20Mart!5e0!3m2!1sen!2sin!4v1596550698309!5m2!1sen!2sin
"MORE HYPERMART, ROHINI",NEW DELHI,NEW DELHI,"City Centre, Sector 10, Rohini West, Opp. Rajiv Gandhi Cancer Institute, New Delhi, Delhi 110034",110034,,Hypermart,10:00 am to 7:30 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3499.0856485266854!2d77.11206441508445!3d28.71698628238465!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x8c1617554429edfb!2sMore%20Hypermart!5e0!3m2!1sen!2sin!4v1596550449725!5m2!1sen!2sin
"MORE MEGASTORE,  MARATHALLI",BENGALURU,KARNATAKA,"Outer Ring Rd, Near Innovative Multiplex, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",560037,,Hypermart,8:00 am to 8:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3888.36970837077!2d77.6964685148217!3d12.94817839087124!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xf67348a9dfd0fe7d!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596551483991!5m2!1sen!2sin
"MORE MEGASTORE, BANJARA HILLS",HYDERABAD,TELANGANA,"6-3-562, Rd Number 1, Irram Manzil Colony, Banjara Hills, Hyderabad, Telangana 500082",500082,7997950969,Hypermart,8:00 am to 4:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3806.8902944156844!2d78.45130111487678!3d17.417051688060862!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xd7b21d66a040e87d!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596551090863!5m2!1sen!2sin
"MORE MEGASTORE, BULLTEMPLE",BENGALURU,KARNATAKA,"96, In Between Ramakrishna Math And Uma Theatre, 112, Bull Temple Rd, Mahantara Lay Out, Kempegowda Nagar, Bengaluru, Karnataka 560019",560019,9071763010,Hypermart,8:30 am to 7:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3888.305381930063!2d77.56502891482187!3d12.952300390868528!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x1d027dee82d504af!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596552348357!5m2!1sen!2sin
